,ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
311,ISRG,2015,0.6668,0.3746,0.6688,,,,
312,ISRG,2016,0.6006,0.6006,0.6668,0.6688,,,
313,ISRG,2017,0.5931,0.4453,0.6006,0.6668,0.6688,,
314,ISRG,2018,0.3439,0.4005,0.5931,0.6006,0.6668,0.6688,
315,ISRG,2019,0.5894,0.3846,0.3439,0.5931,0.6006,0.6668,0.6688
316,ISRG,2020,0.632,0.5018,0.5894,0.3439,0.5931,0.6006,0.6668
317,ISRG,2021,0.4711,0.4317,0.632,0.5894,0.3439,0.5931,0.6006
318,ISRG,2022,0.4722,0.6279,0.4711,0.632,0.5894,0.3439,0.5931
319,ISRG,2023,0.503,0.6031,0.4722,0.4711,0.632,0.5894,0.3439
320,KKR,2014,0.6734,0.5285,,,,,
321,KKR,2015,0.5401,0.4821,0.6734,,,,
322,KKR,2016,0.5321,0.5594,0.5401,0.6734,,,
323,KKR,2017,0.5138,0.7085,0.5321,0.5401,0.6734,,
324,KKR,2018,0.3515,0.5428,0.5138,0.5321,0.5401,0.6734,
325,KKR,2019,0.7225,0.4955,0.3515,0.5138,0.5321,0.5401,0.6734
326,KKR,2020,0.4978,0.4345,0.7225,0.3515,0.5138,0.5321,0.5401
327,KKR,2021,0.4135,0.3894,0.4978,0.7225,0.3515,0.5138,0.5321
328,KKR,2022,0.4613,0.4437,0.4135,0.4978,0.7225,0.3515,0.5138
329,KKR,2023,0.5566,0.5615,0.4613,0.4135,0.4978,0.7225,0.3515
330,KO,2014,0.615,0.5041,,,,,
331,KO,2015,0.5865,0.4654,0.615,,,,
332,KO,2016,0.5719,0.7041,0.5865,0.615,,,
333,KO,2017,0.4393,0.5494,0.5719,0.5865,0.615,,
334,KO,2018,0.293,0.6425,0.4393,0.5719,0.5865,0.615,
335,KO,2019,0.5415,0.3829,0.293,0.4393,0.5719,0.5865,0.615
336,KO,2020,0.5222,0.4965,0.5415,0.293,0.4393,0.5719,0.5865
337,KO,2021,0.3571,0.4125,0.5222,0.5415,0.293,0.4393,0.5719
338,KO,2022,0.3698,0.5026,0.3571,0.5222,0.5415,0.293,0.4393
339,KO,2023,0.5639,0.4365,0.3698,0.3571,0.5222,0.5415,0.293
340,LLY,2014,0.6214,0.5283,,,,,
341,LLY,2015,0.5576,0.4464,0.6214,,,,
342,LLY,2016,0.6442,0.484,0.5576,0.6214,,,
343,LLY,2017,0.6224,0.3034,0.6442,0.5576,0.6214,,
344,LLY,2018,0.3633,0.4738,0.6224,0.6442,0.5576,0.6214,
345,LLY,2019,0.4961,0.4079,0.3633,0.6224,0.6442,0.5576,0.6214
346,LLY,2020,0.5659,0.3796,0.4961,0.3633,0.6224,0.6442,0.5576
347,LLY,2021,0.3701,0.366,0.5659,0.4961,0.3633,0.6224,0.6442
348,LLY,2022,0.3746,0.326,0.3701,0.5659,0.4961,0.3633,0.6224
349,LLY,2023,0.5417,0.4065,0.3746,0.3701,0.5659,0.4961,0.3633
350,LMT,2014,0.5354,0.4998,,,,,
351,LMT,2015,0.542,0.3724,0.5354,,,,
352,LMT,2016,0.5848,0.5141,0.542,0.5354,,,
353,LMT,2017,0.5071,0.4843,0.5848,0.542,0.5354,,
354,LMT,2018,0.43,0.4188,0.5071,0.5848,0.542,0.5354,
355,LMT,2019,0.5767,0.335,0.43,0.5071,0.5848,0.542,0.5354
356,LMT,2020,0.5346,0.4661,0.5767,0.43,0.5071,0.5848,0.542
357,LMT,2021,0.378,0.2992,0.5346,0.5767,0.43,0.5071,0.5848
358,LMT,2022,0.5,0.4388,0.378,0.5346,0.5767,0.43,0.5071
359,LMT,2023,0.542,0.5519,0.5,0.378,0.5346,0.5767,0.43
360,LOW,2014,0.6078,0.5067,,,,,
361,LOW,2015,0.5027,0.3757,0.6078,,,,
362,LOW,2016,0.5703,0.6592,0.5027,0.6078,,,
363,LOW,2017,0.6645,0.5724,0.5703,0.5027,0.6078,,
364,LOW,2018,0.4455,0.5394,0.6645,0.5703,0.5027,0.6078,
365,LOW,2019,0.5155,0.4166,0.4455,0.6645,0.5703,0.5027,0.6078
366,LOW,2020,0.5268,0.567,0.5155,0.4455,0.6645,0.5703,0.5027
367,LOW,2021,0.4655,0.3556,0.5268,0.5155,0.4455,0.6645,0.5703
368,LOW,2022,0.3786,0.5525,0.4655,0.5268,0.5155,0.4455,0.6645
369,LOW,2023,0.5567,0.5851,0.3786,0.4655,0.5268,0.5155,0.4455
370,LRCX,2014,0.58,0.5879,,,,,
371,LRCX,2015,0.5721,0.4844,0.58,,,,
372,LRCX,2016,0.568,0.4978,0.5721,0.58,,,
373,LRCX,2017,0.5344,0.5774,0.568,0.5721,0.58,,
374,LRCX,2018,0.391,0.6108,0.5344,0.568,0.5721,0.58,
375,LRCX,2019,0.5112,0.5166,0.391,0.5344,0.568,0.5721,0.58
376,LRCX,2020,0.5758,0.5454,0.5112,0.391,0.5344,0.568,0.5721
377,LRCX,2021,0.5073,0.4651,0.5758,0.5112,0.391,0.5344,0.568
378,LRCX,2022,0.4173,0.5421,0.5073,0.5758,0.5112,0.391,0.5344
379,LRCX,2023,0.5133,0.6463,0.4173,0.5073,0.5758,0.5112,0.391
380,MA,2014,0.6432,0.4588,,,,,
381,MA,2015,0.4571,0.3855,0.6432,,,,
382,MA,2016,0.497,0.4231,0.4571,0.6432,,,
383,MA,2017,0.4317,0.4713,0.497,0.4571,0.6432,,
384,MA,2018,0.455,0.5027,0.4317,0.497,0.4571,0.6432,
385,MA,2019,0.4538,0.3681,0.455,0.4317,0.497,0.4571,0.6432
386,MA,2020,0.4918,0.6382,0.4538,0.455,0.4317,0.497,0.4571
387,MA,2021,0.4513,0.3993,0.4918,0.4538,0.455,0.4317,0.497
388,MA,2022,0.4981,0.5957,0.4513,0.4918,0.4538,0.455,0.4317
389,MA,2023,0.449,0.3045,0.4981,0.4513,0.4918,0.4538,0.455
390,META,2014,0.4683,0.3894,,,,,
391,META,2015,0.4008,0.3185,0.4683,,,,
392,META,2016,0.5365,0.6185,0.4008,0.4683,,,
393,META,2017,0.4338,0.5925,0.5365,0.4008,0.4683,,
394,META,2018,0.446,0.4947,0.4338,0.5365,0.4008,0.4683,
395,META,2019,0.3293,0.413,0.446,0.4338,0.5365,0.4008,0.4683
396,META,2020,0.5727,0.4553,0.3293,0.446,0.4338,0.5365,0.4008
397,META,2021,0.4802,0.3453,0.5727,0.3293,0.446,0.4338,0.5365
398,META,2022,0.4534,0.5929,0.4802,0.5727,0.3293,0.446,0.4338
399,META,2023,0.42,0.6519,0.4534,0.4802,0.5727,0.3293,0.446
400,MMC,2014,0.6875,0.5983,,,,,
401,MMC,2015,0.4775,0.4498,0.6875,,,,
402,MMC,2016,0.6577,0.6434,0.4775,0.6875,,,
403,MMC,2017,0.6087,0.6485,0.6577,0.4775,0.6875,,
404,MMC,2018,0.5957,0.654,0.6087,0.6577,0.4775,0.6875,
405,MMC,2019,0.7005,0.4548,0.5957,0.6087,0.6577,0.4775,0.6875
406,MMC,2020,0.6488,0.6329,0.7005,0.5957,0.6087,0.6577,0.4775
407,MMC,2021,0.5451,0.4729,0.6488,0.7005,0.5957,0.6087,0.6577
408,MMC,2022,0.5286,0.636,0.5451,0.6488,0.7005,0.5957,0.6087
409,MMC,2023,0.6516,0.608,0.5286,0.5451,0.6488,0.7005,0.5957
410,MRK,2014,0.542,0.5873,,,,,
411,MRK,2015,0.5206,0.4259,0.542,,,,
412,MRK,2016,0.621,0.5452,0.5206,0.542,,,
413,MRK,2017,0.5803,0.5231,0.621,0.5206,0.542,,
414,MRK,2018,0.3976,0.5377,0.5803,0.621,0.5206,0.542,
415,MRK,2019,0.4728,0.3864,0.3976,0.5803,0.621,0.5206,0.542
416,MRK,2020,0.4262,0.5189,0.4728,0.3976,0.5803,0.621,0.5206
417,MRK,2021,0.2963,0.4919,0.4262,0.4728,0.3976,0.5803,0.621
418,MRK,2022,0.2112,0.5668,0.2963,0.4262,0.4728,0.3976,0.5803
419,MRK,2023,0.4031,0.6061,0.2112,0.2963,0.4262,0.4728,0.3976
420,MSFT,2014,0.5829,0.4896,,,,,
421,MSFT,2015,0.5556,0.3809,0.5829,,,,
422,MSFT,2016,0.6497,0.4339,0.5556,0.5829,,,
423,MSFT,2017,0.6595,0.4803,0.6497,0.5556,0.5829,,
424,MSFT,2018,0.5059,0.4964,0.6595,0.6497,0.5556,0.5829,
425,MSFT,2019,0.5015,0.345,0.5059,0.6595,0.6497,0.5556,0.5829
426,MSFT,2020,0.6058,0.6221,0.5015,0.5059,0.6595,0.6497,0.5556
427,MSFT,2021,0.5668,0.3576,0.6058,0.5015,0.5059,0.6595,0.6497
428,MSFT,2022,0.5124,0.5651,0.5668,0.6058,0.5015,0.5059,0.6595
429,MSFT,2023,0.5325,0.7203,0.5124,0.5668,0.6058,0.5015,0.5059
430,MU,2014,0.4106,0.3715,,,,,
431,MU,2015,0.5059,0.2926,0.4106,,,,
432,MU,2016,0.5327,0.2944,0.5059,0.4106,,,
433,MU,2017,0.5086,0.343,0.5327,0.5059,0.4106,,
434,MU,2018,0.3517,0.6465,0.5086,0.5327,0.5059,0.4106,
435,MU,2019,0.563,0.4247,0.3517,0.5086,0.5327,0.5059,0.4106
436,MU,2020,0.5214,0.6284,0.563,0.3517,0.5086,0.5327,0.5059
437,MU,2021,0.4346,0.4035,0.5214,0.563,0.3517,0.5086,0.5327
438,MU,2022,0.3803,0.6364,0.4346,0.5214,0.563,0.3517,0.5086
439,MU,2023,0.5884,0.5045,0.3803,0.4346,0.5214,0.563,0.3517
440,NEE,2014,0.5326,0.5578,,,,,
441,NEE,2015,0.5217,0.4142,0.5326,,,,
442,NEE,2016,0.452,0.4186,0.5217,0.5326,,,
443,NEE,2017,0.5188,0.5849,0.452,0.5217,0.5326,,
444,NEE,2018,0.1988,0.3645,0.5188,0.452,0.5217,0.5326,
445,NEE,2019,0.5963,0.4023,0.1988,0.5188,0.452,0.5217,0.5326
446,NEE,2020,0.5873,0.3575,0.5963,0.1988,0.5188,0.452,0.5217
447,NEE,2021,0.2774,0.4122,0.5873,0.5963,0.1988,0.5188,0.452
448,NEE,2022,0.3496,0.4705,0.2774,0.5873,0.5963,0.1988,0.5188
449,NEE,2023,0.5169,0.465,0.3496,0.2774,0.5873,0.5963,0.1988
450,NFLX,2014,0.6331,0.3039,,,,,
451,NFLX,2015,0.4603,0.3107,0.6331,,,,
452,NFLX,2016,0.3508,0.376,0.4603,0.6331,,,
453,NFLX,2017,0.397,0.418,0.3508,0.4603,0.6331,,
454,NFLX,2018,0.3526,0.3952,0.397,0.3508,0.4603,0.6331,
455,NFLX,2019,0.4274,0.305,0.3526,0.397,0.3508,0.4603,0.6331
456,NFLX,2020,0.4357,0.393,0.4274,0.3526,0.397,0.3508,0.4603
457,NFLX,2021,0.37,0.2619,0.4357,0.4274,0.3526,0.397,0.3508
458,NFLX,2022,0.5113,0.5778,0.37,0.4357,0.4274,0.3526,0.397
459,NFLX,2023,0.3946,0.4507,0.5113,0.37,0.4357,0.4274,0.3526
460,NKE,2014,0.4744,0.4768,,,,,
461,NKE,2015,0.4439,0.4401,0.4744,,,,
462,NKE,2016,0.4575,0.5309,0.4439,0.4744,,,
463,NKE,2017,0.4109,0.4487,0.4575,0.4439,0.4744,,
464,NKE,2018,0.4285,0.6091,0.4109,0.4575,0.4439,0.4744,
465,NKE,2019,0.4896,0.3986,0.4285,0.4109,0.4575,0.4439,0.4744
466,NKE,2020,0.4976,0.423,0.4896,0.4285,0.4109,0.4575,0.4439
467,NKE,2021,0.3854,0.4182,0.4976,0.4896,0.4285,0.4109,0.4575
468,NKE,2022,0.5264,0.5532,0.3854,0.4976,0.4896,0.4285,0.4109
469,NKE,2023,0.4993,0.5508,0.5264,0.3854,0.4976,0.4896,0.4285
470,NOW,2014,0.6198,0.6781,,,,,
471,NOW,2015,0.5138,0.4555,0.6198,,,,
472,NOW,2016,0.5794,0.4948,0.5138,0.6198,,,
473,NOW,2017,0.6066,0.6815,0.5794,0.5138,0.6198,,
474,NOW,2018,0.5245,0.4967,0.6066,0.5794,0.5138,0.6198,
475,NOW,2019,0.6593,0.3789,0.5245,0.6066,0.5794,0.5138,0.6198
476,NOW,2020,0.5562,0.5551,0.6593,0.5245,0.6066,0.5794,0.5138
477,NOW,2021,0.4735,0.3323,0.5562,0.6593,0.5245,0.6066,0.5794
478,NOW,2022,0.5037,0.6337,0.4735,0.5562,0.6593,0.5245,0.6066
479,NOW,2023,0.5683,0.5269,0.5037,0.4735,0.5562,0.6593,0.5245
480,NVDA,2014,0.4878,0.5388,,,,,
481,NVDA,2015,0.3193,0.3459,0.4878,,,,
482,NVDA,2016,0.4587,0.4672,0.3193,0.4878,,,
483,NVDA,2017,0.4718,0.4923,0.4587,0.3193,0.4878,,
484,NVDA,2018,0.4616,0.4492,0.4718,0.4587,0.3193,0.4878,
485,NVDA,2019,0.3248,0.3363,0.4616,0.4718,0.4587,0.3193,0.4878
486,NVDA,2020,0.3581,0.4862,0.3248,0.4616,0.4718,0.4587,0.3193
487,NVDA,2021,0.3757,0.3529,0.3581,0.3248,0.4616,0.4718,0.4587
488,NVDA,2022,0.4971,0.5348,0.3757,0.3581,0.3248,0.4616,0.4718
489,NVDA,2023,0.528,0.5222,0.4971,0.3757,0.3581,0.3248,0.4616
490,ORCL,2014,0.487,0.5102,,,,,
491,ORCL,2015,0.5702,0.3549,0.487,,,,
492,ORCL,2016,0.5469,0.6901,0.5702,0.487,,,
493,ORCL,2017,0.5831,0.6455,0.5469,0.5702,0.487,,
494,ORCL,2018,0.435,0.483,0.5831,0.5469,0.5702,0.487,
495,ORCL,2019,0.6146,0.3249,0.435,0.5831,0.5469,0.5702,0.487
496,ORCL,2020,0.5717,0.4788,0.6146,0.435,0.5831,0.5469,0.5702
497,ORCL,2021,0.4654,0.3692,0.5717,0.6146,0.435,0.5831,0.5469
498,ORCL,2022,0.4355,0.5922,0.4654,0.5717,0.6146,0.435,0.5831
499,ORCL,2023,0.5452,0.5501,0.4355,0.4654,0.5717,0.6146,0.435
500,PANW,2014,0.6778,0.5943,,,,,
501,PANW,2015,0.5793,0.4193,0.6778,,,,
502,PANW,2016,0.6842,0.6188,0.5793,0.6778,,,
503,PANW,2017,0.6395,0.5779,0.6842,0.5793,0.6778,,
504,PANW,2018,0.6235,0.5155,0.6395,0.6842,0.5793,0.6778,
505,PANW,2019,0.4183,0.4537,0.6235,0.6395,0.6842,0.5793,0.6778
