ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
BMY,2018,0.756,0.5067,0.4432,0.5756,0.4804,0.4791,
BMY,2019,0.6223,0.5521,0.756,0.4432,0.5756,0.4804,0.4791
BMY,2020,0.7086,0.3462,0.6223,0.756,0.4432,0.5756,0.4804
BMY,2021,0.8416,0.2745,0.7086,0.6223,0.756,0.4432,0.5756
BMY,2022,0.5289,0.6202,0.8416,0.7086,0.6223,0.756,0.4432
BMY,2023,0.7289,0.6405,0.5289,0.8416,0.7086,0.6223,0.756
BRK-B,2014,0.3259,0.4961,,,,,
BRK-B,2015,0.2417,0.4254,0.3259,,,,
BRK-B,2016,0.2687,0.4665,0.2417,0.3259,,,
BRK-B,2017,0.2546,0.385,0.2687,0.2417,0.3259,,
BRK-B,2018,0.2617,0.3742,0.2546,0.2687,0.2417,0.3259,
BRK-B,2019,0.2894,0.396,0.2617,0.2546,0.2687,0.2417,0.3259
BRK-B,2020,0.2957,0.4435,0.2894,0.2617,0.2546,0.2687,0.2417
BRK-B,2021,0.2523,0.4445,0.2957,0.2894,0.2617,0.2546,0.2687
BRK-B,2022,0.269,0.4131,0.2523,0.2957,0.2894,0.2617,0.2546
BRK-B,2023,0.3015,0.415,0.269,0.2523,0.2957,0.2894,0.2617
BSX,2014,0.2315,0.3613,,,,,
BSX,2015,0.5556,0.2909,0.2315,,,,
BSX,2016,0.6385,0.494,0.5556,0.2315,,,
BSX,2017,0.8971,0.3407,0.6385,0.5556,0.2315,,
BSX,2018,0.3753,0.4502,0.8971,0.6385,0.5556,0.2315,
BSX,2019,0.5046,0.4473,0.3753,0.8971,0.6385,0.5556,0.2315
BSX,2020,0.2951,0.3552,0.5046,0.3753,0.8971,0.6385,0.5556
BSX,2021,0.4827,0.4814,0.2951,0.5046,0.3753,0.8971,0.6385
BSX,2022,0.362,0.3609,0.4827,0.2951,0.5046,0.3753,0.8971
BSX,2023,0.6298,0.4668,0.362,0.4827,0.2951,0.5046,0.3753
BX,2014,0.6545,0.725,,,,,
BX,2015,0.5287,0.3279,0.6545,,,,
BX,2016,0.656,0.6436,0.5287,0.6545,,,
BX,2017,0.5069,0.6199,0.656,0.5287,0.6545,,
BX,2018,0.666,0.6683,0.5069,0.656,0.5287,0.6545,
BX,2019,0.654,0.6987,0.666,0.5069,0.656,0.5287,0.6545
BX,2020,0.3709,0.4514,0.654,0.666,0.5069,0.656,0.5287
BX,2021,0.4437,0.4616,0.3709,0.654,0.666,0.5069,0.656
BX,2022,0.594,0.5595,0.4437,0.3709,0.654,0.666,0.5069
BX,2023,0.6983,0.7515,0.594,0.4437,0.3709,0.654,0.666
CB,2014,0.8079,0.4646,,,,,
CB,2015,0.7744,0.4217,0.8079,,,,
CB,2016,0.7643,0.3789,0.7744,0.8079,,,
CB,2017,0.8726,0.4532,0.7643,0.7744,0.8079,,
CB,2018,0.8317,0.803,0.8726,0.7643,0.7744,0.8079,
CB,2019,0.7318,0.784,0.8317,0.8726,0.7643,0.7744,0.8079
CB,2020,0.7921,0.733,0.7318,0.8317,0.8726,0.7643,0.7744
CB,2021,0.8036,0.7667,0.7921,0.7318,0.8317,0.8726,0.7643
CB,2022,0.832,0.7195,0.8036,0.7921,0.7318,0.8317,0.8726
CB,2023,0.7634,0.7605,0.832,0.8036,0.7921,0.7318,0.8317
CMCSA,2014,0.3953,0.3292,,,,,
CMCSA,2015,0.3484,0.3251,0.3953,,,,
CMCSA,2016,0.3681,0.4238,0.3484,0.3953,,,
CMCSA,2017,0.381,0.293,0.3681,0.3484,0.3953,,
CMCSA,2018,0.3607,0.5052,0.381,0.3681,0.3484,0.3953,
CMCSA,2019,0.3441,0.6182,0.3607,0.381,0.3681,0.3484,0.3953
CMCSA,2020,0.3225,0.3334,0.3441,0.3607,0.381,0.3681,0.3484
CMCSA,2021,0.7546,0.6618,0.3225,0.3441,0.3607,0.381,0.3681
CMCSA,2022,0.8446,0.609,0.7546,0.3225,0.3441,0.3607,0.381
CMCSA,2023,0.3591,0.7619,0.8446,0.7546,0.3225,0.3441,0.3607
COST,2014,0.6722,0.3098,,,,,
COST,2015,0.4168,0.3156,0.6722,,,,
COST,2016,0.3699,0.3161,0.4168,0.6722,,,
COST,2017,0.3377,0.3075,0.3699,0.4168,0.6722,,
COST,2018,0.617,0.3209,0.3377,0.3699,0.4168,0.6722,
COST,2019,0.2686,0.3634,0.617,0.3377,0.3699,0.4168,0.6722
