ticker,year,Revenues,Net Income
BRK-B,2022,509791000000.0,-44757000000.0
BRK-B,2023,619388000000.0,193370000000.0
LLY,2014,19615600000.0,2390500000.0
LLY,2015,19958700000.0,2408400000.0
LLY,2016,21222100000.0,3177700000.0
LLY,2017,19973800000.0,-204100000.0
LLY,2018,21493300000.0,3232000000.0
LLY,2019,22319500000.0,8318400000.0
LLY,2020,24539800000.0,6193700000.0
LLY,2021,28318400000.0,5581700000.0
LLY,2022,28541400000.0,6244800000.0
LLY,2023,34124100000.0,5240400000.0
V,2014,12702000000.0,10876000000.0
V,2015,13880000000.0,12656000000.0
V,2016,15082000000.0,11982000000.0
V,2017,18358000000.0,13398000000.0
V,2018,20609000000.0,20602000000.0
V,2019,45954000000.0,24160000000.0
V,2020,43692000000.0,21732000000.0
V,2021,24105000000.0,24622000000.0
V,2022,29310000000.0,29914000000.0
V,2023,32653000000.0,34546000000.0
MA,2014,9473000000.0,3617000000.0
MA,2015,9667000000.0,3808000000.0
MA,2016,10776000000.0,4059000000.0
MA,2017,12497000000.0,3915000000.0
MA,2018,36781000000.0,5859000000.0
MA,2019,41863000000.0,8118000000.0
MA,2020,38917000000.0,6411000000.0
MA,2021,48729000000.0,8687000000.0
MA,2022,22237000000.0,9930000000.0
MA,2023,25098000000.0,11195000000.0
ORCL,2014,38226000000.0,19989000000.0
ORCL,2015,37047000000.0,17918000000.0
ORCL,2016,75584000000.0,19022000000.0
ORCL,2017,78766000000.0,7309000000.0
ORCL,2018,79012000000.0,22318000000.0
ORCL,2019,39068000000.0,20434000000.0
ORCL,2020,80958000000.0,27672000000.0
ORCL,2021,84880000000.0,13618000000.0
ORCL,2022,99908000000.0,17171000000.0
ORCL,2023,105922000000.0,21120000000.0
UNH,2014,130474000000.0,11238000000.0
UNH,2015,157107000000.0,11681000000.0
UNH,2016,184840000000.0,14090000000.0
UNH,2017,201159000000.0,21381000000.0
UNH,2018,226247000000.0,24368000000.0
UNH,2019,242155000000.0,28078000000.0
UNH,2020,257141000000.0,31172000000.0
UNH,2021,287597000000.0,35017000000.0
UNH,2022,324162000000.0,40759000000.0
UNH,2023,371622000000.0,45525000000.0
COST,2014,112640000000.0,4146000000.0
COST,2015,116199000000.0,4786000000.0
COST,2016,237438000000.0,4726000000.0
COST,2017,258050000000.0,5393000000.0
COST,2018,283152000000.0,6313000000.0
COST,2019,305406000000.0,7363000000.0
COST,2020,333522000000.0,8061000000.0
COST,2021,391858000000.0,10086000000.0
COST,2022,453908000000.0,11759000000.0
COST,2023,484580000000.0,12584000000.0
PG,2014,29400000000.0,23428000000.0
PG,2015,70749000000.0,14180000000.0
PG,2016,65299000000.0,21112000000.0
PG,2017,65058000000.0,30737000000.0
PG,2018,66832000000.0,19611000000.0
PG,2019,67684000000.0,7863000000.0
PG,2020,70950000000.0,26130000000.0
PG,2021,76118000000.0,28658000000.0
PG,2022,80187000000.0,29535000000.0
PG,2023,82006000000.0,29391000000.0
HD,2014,86976000000.0,6345000000.0
HD,2015,92519000000.0,7009000000.0
HD,2016,94595000000.0,7957000000.0
HD,2017,100904000000.0,8630000000.0
HD,2018,108203000000.0,11121000000.0
HD,2019,110225000000.0,11242000000.0
HD,2020,132110000000.0,12866000000.0
HD,2021,151157000000.0,16433000000.0
HD,2022,157403000000.0,17105000000.0
HD,2023,152669000000.0,15143000000.0
NFLX,2014,5504656000.0,266799000.0
NFLX,2015,6779511000.0,122641000.0
NFLX,2016,8830669000.0,186678000.0
NFLX,2017,11692713000.0,558929000.0
NFLX,2018,15794341000.0,1211242000.0
NFLX,2019,20156447000.0,1866916000.0
NFLX,2020,24996056000.0,2761395000.0
NFLX,2021,29697844000.0,5116228000.0
NFLX,2022,31615550000.0,4491924000.0
NFLX,2023,33723297000.0,5407990000.0
BAC,2014,85894000000.0,5520000000.0
BAC,2015,82965000000.0,15910000000.0
BAC,2016,83701000000.0,17822000000.0
BAC,2017,87126000000.0,18232000000.0
BAC,2018,91020000000.0,28147000000.0
BAC,2019,91244000000.0,27430000000.0
BAC,2020,85528000000.0,17894000000.0
BAC,2021,89113000000.0,31978000000.0
BAC,2022,94950000000.0,27528000000.0
BAC,2023,98581000000.0,26515000000.0
CRM,2014,1226772000.0,-262688000.0
CRM,2015,6667216000.0,-47426000.0
CRM,2016,25265984000.0,323000000.0
CRM,2017,21080000000.0,360000000.0
CRM,2018,13282000000.0,1110000000.0
CRM,2019,17098000000.0,126000000.0
CRM,2020,21252000000.0,4072000000.0
CRM,2021,26492000000.0,1444000000.0
CRM,2022,31352000000.0,208000000.0
CRM,2023,34857000000.0,4136000000.0
ABBV,2014,19960000000.0,1774000000.0
ABBV,2015,22859000000.0,5144000000.0
ABBV,2016,51276000000.0,5953000000.0
ABBV,2017,56432000000.0,5309000000.0
ABBV,2018,65506000000.0,11374000000.0
ABBV,2019,66532000000.0,15764000000.0
ABBV,2020,91608000000.0,9238000000.0
ABBV,2021,112394000000.0,23091000000.0
ABBV,2022,116108000000.0,23681000000.0
ABBV,2023,108636000000.0,9736000000.0
KO,2014,45998000000.0,14222000000.0
KO,2015,44294000000.0,14717000000.0
KO,2016,41863000000.0,13077000000.0
KO,2017,36212000000.0,2531000000.0
KO,2018,34300000000.0,12910000000.0
KO,2019,37266000000.0,17905000000.0
KO,2020,33014000000.0,15515000000.0
KO,2021,38655000000.0,19575000000.0
KO,2022,43004000000.0,19113000000.0
KO,2023,45754000000.0,21417000000.0
TMUS,2014,29564000000.0,247000000.0
TMUS,2015,32467000000.0,733000000.0
TMUS,2016,37490000000.0,1460000000.0
TMUS,2017,40604000000.0,4536000000.0
TMUS,2018,43310000000.0,2888000000.0
TMUS,2019,44998000000.0,3468000000.0
TMUS,2020,68397000000.0,3064000000.0
TMUS,2021,80118000000.0,3024000000.0
TMUS,2022,79571000000.0,2590000000.0
TMUS,2023,78558000000.0,8317000000.0
MRK,2014,42237000000.0,23854000000.0
MRK,2015,39498000000.0,8901000000.0
MRK,2016,39807000000.0,7861000000.0
MRK,2017,40122000000.0,4812000000.0
MRK,2018,42294000000.0,12413000000.0
MRK,2019,39121000000.0,19620000000.0
MRK,2020,41518000000.0,14149000000.0
MRK,2021,48704000000.0,13049000000.0
MRK,2022,59283000000.0,29045000000.0
MRK,2023,60115000000.0,742000000.0
CSCO,2014,47142000000.0,7853000000.0
CSCO,2015,49161000000.0,8981000000.0
CSCO,2016,49247000000.0,10739000000.0
CSCO,2017,96010000000.0,9609000000.0
CSCO,2018,98660000000.0,110000000.0
CSCO,2019,51904000000.0,11621000000.0
CSCO,2020,49301000000.0,11214000000.0
CSCO,2021,49818000000.0,10591000000.0
CSCO,2022,51557000000.0,11812000000.0
CSCO,2023,56998000000.0,12613000000.0
ACN,2014,31874678000.0,2941498000.0
ACN,2015,32914424000.0,3053581000.0
ACN,2016,34797661000.0,4111892000.0
ACN,2017,36176841000.0,3445149000.0
ACN,2018,40992534000.0,4059907000.0
ACN,2019,43215013000.0,4779112000.0
ACN,2020,44327039000.0,5107839000.0
ACN,2021,50533389000.0,5906809000.0
ACN,2022,61594305000.0,6877169000.0
ACN,2023,64111745000.0,6871557000.0
NOW,2014,682563000.0,-179387000.0
NOW,2015,1005480000.0,-198426000.0
NOW,2016,2781498000.0,-414249000.0
NOW,2017,3851520000.0,-116846000.0
NOW,2018,2608816000.0,-26704000.0
NOW,2019,3460000000.0,626698000.0
NOW,2020,4519000000.0,119000000.0
NOW,2021,5896000000.0,230000000.0
NOW,2022,7245000000.0,325000000.0
NOW,2023,8971000000.0,1731000000.0
PEP,2014,66683000000.0,13071000000.0
PEP,2015,63056000000.0,10953000000.0
PEP,2016,62799000000.0,12708000000.0
PEP,2017,63525000000.0,9765000000.0
PEP,2018,64661000000.0,25074000000.0
PEP,2019,67161000000.0,14667000000.0
PEP,2020,70372000000.0,14295000000.0
PEP,2021,79474000000.0,15297000000.0
PEP,2022,86392000000.0,17888000000.0
PEP,2023,91471000000.0,18229000000.0
BX,2014,7484728000.0,5280142000.0
BX,2015,4646552000.0,2334139000.0
BX,2016,5146299000.0,3288256000.0
BX,2017,7145015000.0,4846316000.0
BX,2018,6833259000.0,4805339000.0
BX,2019,7338270000.0,5915649000.0
BX,2020,6101927000.0,3306869000.0
BX,2021,22577148000.0,18232392000.0
BX,2022,8517673000.0,4736540000.0
BX,2023,8022841000.0,3835133000.0
TMO,2014,16889600000.0,1894400000.0
TMO,2015,16965000000.0,1975000000.0
TMO,2016,36548000000.0,2022000000.0
TMO,2017,41836000000.0,2225000000.0
TMO,2018,24358000000.0,2938000000.0
TMO,2019,25542000000.0,3698000000.0
TMO,2020,32218000000.0,6377000000.0
TMO,2021,39211000000.0,7728000000.0
TMO,2022,44915000000.0,6960000000.0
TMO,2023,42857000000.0,5955000000.0
ABT,2014,20247000000.0,2284000000.0
ABT,2015,20405000000.0,8846000000.0
ABT,2016,20853000000.0,2800000000.0
ABT,2017,27390000000.0,954000000.0
ABT,2018,30578000000.0,4736000000.0
ABT,2019,31904000000.0,7374000000.0
ABT,2020,34608000000.0,8990000000.0
ABT,2021,43075000000.0,14142000000.0
ABT,2022,43653000000.0,6933000000.0
ABT,2023,40109000000.0,5723000000.0
ADBE,2014,4147065000.0,268395000.0
ADBE,2015,4795511000.0,629551000.0
ADBE,2016,5854430000.0,1168782000.0
ADBE,2017,7301505000.0,1693954000.0
ADBE,2018,9030000000.0,2591000000.0
ADBE,2019,11171000000.0,2951000000.0
ADBE,2020,12868000000.0,5260000000.0
ADBE,2021,15785000000.0,4822000000.0
ADBE,2022,17606000000.0,4756000000.0
ADBE,2023,19409000000.0,5428000000.0
AMD,2014,11012000000.0,-403000000.0
AMD,2015,7982000000.0,-660000000.0
AMD,2016,4319000000.0,-498000000.0
AMD,2017,5253000000.0,-33000000.0
AMD,2018,6475000000.0,337000000.0
AMD,2019,6731000000.0,341000000.0
AMD,2020,9763000000.0,2490000000.0
AMD,2021,16434000000.0,3162000000.0
AMD,2022,23601000000.0,1320000000.0
AMD,2023,22680000000.0,854000000.0
PM,2014,80106000000.0,15151000000.0
PM,2015,73908000000.0,13905000000.0
PM,2016,101638000000.0,14217000000.0
PM,2017,106846000000.0,12376000000.0
PM,2018,109448000000.0,16197000000.0
PM,2019,107726000000.0,14913000000.0
PM,2020,104741000000.0,16648000000.0
PM,2021,113628000000.0,18819000000.0
PM,2022,112431000000.0,18575000000.0
PM,2023,35174000000.0,16081000000.0
ISRG,2014,4263400000.0,418800000.0
ISRG,2015,4768800000.0,588800000.0
ISRG,2016,2706500000.0,1476600000.0
ISRG,2017,3138200000.0,1341800000.0
ISRG,2018,3724200000.0,2252900000.0
ISRG,2019,4478500000.0,2761100000.0
ISRG,2020,4358400000.0,2127400000.0
ISRG,2021,5710100000.0,3432700000.0
ISRG,2022,6222200000.0,2666700000.0
ISRG,2023,7124100000.0,3615300000.0
INTU,2014,8486000000.0,907000000.0
INTU,2015,8384000000.0,365000000.0
INTU,2016,4694000000.0,979000000.0
INTU,2017,5196000000.0,985000000.0
INTU,2018,6025000000.0,1329000000.0
INTU,2019,13568000000.0,1557000000.0
INTU,2020,15358000000.0,1826000000.0
INTU,2021,19266000000.0,2062000000.0
INTU,2022,25452000000.0,2066000000.0
INTU,2023,28736000000.0,2384000000.0
GS,2014,34528000000.0,8477000000.0
GS,2015,33820000000.0,6083000000.0
GS,2016,30790000000.0,14796000000.0
GS,2017,32730000000.0,8572000000.0
GS,2018,36616000000.0,20918000000.0
GS,2019,36546000000.0,16932000000.0
GS,2020,44560000000.0,18918000000.0
GS,2021,59339000000.0,43270000000.0
GS,2022,47365000000.0,11261000000.0
GS,2023,46254000000.0,8516000000.0
TXN,2014,13045000000.0,2821000000.0
TXN,2015,13000000000.0,2986000000.0
TXN,2016,13370000000.0,3595000000.0
TXN,2017,14961000000.0,3682000000.0
TXN,2018,15784000000.0,5580000000.0
TXN,2019,14383000000.0,5017000000.0
TXN,2020,14461000000.0,5595000000.0
TXN,2021,18344000000.0,7769000000.0
TXN,2022,20028000000.0,8749000000.0
TXN,2023,17519000000.0,6510000000.0
QCOM,2014,26487000000.0,15931000000.0
QCOM,2015,25281000000.0,10539000000.0
QCOM,2016,23554000000.0,11407000000.0
QCOM,2017,22258000000.0,4889000000.0
QCOM,2018,22611000000.0,-9928000000.0
QCOM,2019,24273000000.0,8772000000.0
QCOM,2020,23531000000.0,10396000000.0
QCOM,2021,33566000000.0,18086000000.0
QCOM,2022,44200000000.0,12936000000.0
QCOM,2023,35820000000.0,7232000000.0
BKNG,2014,8441971000.0,2421753000.0
BKNG,2015,9223987000.0,2551360000.0
BKNG,2016,10743000000.0,2135000000.0
BKNG,2017,12681000000.0,2341000000.0
BKNG,2018,14527000000.0,3998000000.0
BKNG,2019,15066000000.0,4865000000.0
BKNG,2020,6796000000.0,59000000.0
BKNG,2021,10958000000.0,1165000000.0
BKNG,2022,17090000000.0,3058000000.0
BKNG,2023,21365000000.0,4289000000.0
DHR,2014,12866900000.0,2598400000.0
DHR,2015,14433700000.0,3357400000.0
DHR,2016,16882400000.0,2553700000.0
DHR,2017,33848500000.0,2492100000.0
DHR,2018,36942000000.0,2651000000.0
DHR,2019,17911000000.0,3008000000.0
DHR,2020,22284000000.0,3646000000.0
DHR,2021,24802000000.0,6433000000.0
DHR,2022,26643000000.0,7209000000.0
DHR,2023,23890000000.0,4764000000.0
SPGI,2014,5051000000.0,-128000000.0
SPGI,2015,5313000000.0,2424000000.0
SPGI,2016,11322000000.0,4334000000.0
SPGI,2017,12126000000.0,3134000000.0
SPGI,2018,6258000000.0,4079000000.0
SPGI,2019,6699000000.0,4426000000.0
SPGI,2020,7442000000.0,4873000000.0
SPGI,2021,8297000000.0,6287000000.0
SPGI,2022,11181000000.0,6770000000.0
SPGI,2023,12497000000.0,5519000000.0
NEE,2014,17021000000.0,4934000000.0
NEE,2015,17486000000.0,5514000000.0
NEE,2016,16138000000.0,5905000000.0
NEE,2017,17173000000.0,10703000000.0
NEE,2018,15400000000.0,12414000000.0
NEE,2019,17500000000.0,7157000000.0
NEE,2020,17000000000.0,5288000000.0
NEE,2021,18800000000.0,6400000000.0
NEE,2022,23000000000.0,7393000000.0
NEE,2023,24800000000.0,13592000000.0
CMCSA,2014,68775000000.0,16972000000.0
CMCSA,2015,74510000000.0,16576000000.0
CMCSA,2016,80736000000.0,17706000000.0
CMCSA,2017,85029000000.0,45657000000.0
CMCSA,2018,94507000000.0,23593000000.0
CMCSA,2019,108942000000.0,26380000000.0
CMCSA,2020,103564000000.0,21235000000.0
CMCSA,2021,116385000000.0,27992000000.0
CMCSA,2022,242854000000.0,10295000000.0
CMCSA,2023,243144000000.0,30495000000.0
ANET,2014,1168212000.0,86850000.0
ANET,2015,1675182000.0,121102000.0
ANET,2016,1129167000.0,184189000.0
ANET,2017,1646186000.0,423201000.0
ANET,2018,2151369000.0,328115000.0
ANET,2019,2410706000.0,859867000.0
ANET,2020,2317512000.0,634557000.0
ANET,2021,2948037000.0,840854000.0
ANET,2022,4381310000.0,1352446000.0
ANET,2023,5860168000.0,2087321000.0
AMGN,2014,20063000000.0,5158000000.0
AMGN,2015,21662000000.0,6939000000.0
AMGN,2016,22991000000.0,7722000000.0
AMGN,2017,45698000000.0,1979000000.0
AMGN,2018,47494000000.0,8394000000.0
AMGN,2019,70086000000.0,7842000000.0
AMGN,2020,76272000000.0,7264000000.0
AMGN,2021,51958000000.0,5893000000.0
AMGN,2022,52646000000.0,6552000000.0
AMGN,2023,28190000000.0,6717000000.0
LOW,2014,56223000000.0,5396000000.0
LOW,2015,59074000000.0,5092000000.0
LOW,2016,65017000000.0,6184000000.0
LOW,2017,68619000000.0,6894000000.0
LOW,2018,71309000000.0,4628000000.0
LOW,2019,72148000000.0,8562000000.0
LOW,2020,89597000000.0,11670000000.0
LOW,2021,96250000000.0,16884000000.0
LOW,2022,97059000000.0,12874000000.0
LOW,2023,86377000000.0,7726000000.0
SYK,2014,9675000000.0,515000000.0
SYK,2015,9946000000.0,1439000000.0
SYK,2016,11325000000.0,1647000000.0
SYK,2017,12444000000.0,1020000000.0
SYK,2018,13601000000.0,3553000000.0
SYK,2019,14884000000.0,2083000000.0
SYK,2020,14351000000.0,1599000000.0
SYK,2021,17108000000.0,1994000000.0
SYK,2022,18449000000.0,2358000000.0
SYK,2023,20498000000.0,3165000000.0
UNP,2014,23988000000.0,5180000000.0
UNP,2015,21813000000.0,4772000000.0
UNP,2016,19941000000.0,4233000000.0
UNP,2017,21240000000.0,10712000000.0
UNP,2018,22832000000.0,5966000000.0
UNP,2019,43416000000.0,5919000000.0
UNP,2020,39066000000.0,5349000000.0
UNP,2021,21804000000.0,6523000000.0
UNP,2022,24875000000.0,6998000000.0
UNP,2023,24119000000.0,6379000000.0
TJX,2014,29078407000.0,2215128000.0
TJX,2015,29078407000.0,2277658000.0
TJX,2016,33183744000.0,2298234000.0
TJX,2017,35864664000.0,2607948000.0
TJX,2018,38972934000.0,3059798000.0
TJX,2019,41716977000.0,3272193000.0
TJX,2020,32137000000.0,90000000.0
TJX,2021,48550000000.0,3283000000.0
TJX,2022,49936000000.0,3498000000.0
TJX,2023,54217000000.0,4474000000.0
KKR,2014,1110008000.0,5872631000.0
KKR,2015,1043768000.0,5763514000.0
KKR,2016,3144926000.0,1259971000.0
KKR,2017,5098884000.0,3578347000.0
KKR,2018,4237162000.0,3582009000.0
KKR,2019,6011375000.0,6644589000.0
KKR,2020,6237682000.0,7120107000.0
KKR,2021,16226040000.0,17184123000.0
KKR,2022,5704180000.0,-939278000.0
KKR,2023,14499312000.0,9089347000.0
SCHW,2014,6058000000.0,1321000000.0
SCHW,2015,6380000000.0,1447000000.0
SCHW,2016,7478000000.0,1889000000.0
SCHW,2017,8618000000.0,2354000000.0
SCHW,2018,10132000000.0,3507000000.0
SCHW,2019,10721000000.0,3704000000.0
SCHW,2020,11691000000.0,3299000000.0
SCHW,2021,18520000000.0,5855000000.0
SCHW,2022,20762000000.0,7183000000.0
SCHW,2023,18837000000.0,5067000000.0
AMAT,2014,9072000000.0,1072000000.0
AMAT,2015,9659000000.0,1377000000.0
AMAT,2016,10825000000.0,1721000000.0
AMAT,2017,14698000000.0,3519000000.0
AMAT,2018,33410000000.0,3038000000.0
AMAT,2019,29216000000.0,2706000000.0
AMAT,2020,17202000000.0,3619000000.0
AMAT,2021,23063000000.0,5888000000.0
AMAT,2022,25785000000.0,6525000000.0
AMAT,2023,26517000000.0,6856000000.0
BA,2014,90762000000.0,10902000000.0
BA,2015,96114000000.0,10349000000.0
BA,2016,93496000000.0,10067000000.0
BA,2017,188010000000.0,16914000000.0
BA,2018,202254000000.0,20920000000.0
BA,2019,153118000000.0,-1272000000.0
BA,2020,58158000000.0,-23814000000.0
BA,2021,62286000000.0,-8492000000.0
BA,2022,66608000000.0,-9988000000.0
BA,2023,77794000000.0,-4464000000.0
BSX,2014,7462000000.0,-119000000.0
BSX,2015,8068000000.0,-239000000.0
BSX,2016,17462000000.0,347000000.0
BSX,2017,9048000000.0,104000000.0
BSX,2018,9823000000.0,1671000000.0
BSX,2019,10735000000.0,4700000000.0
BSX,2020,9913000000.0,-82000000.0
BSX,2021,11888000000.0,1041000000.0
BSX,2022,12682000000.0,698000000.0
BSX,2023,14240000000.0,1592000000.0
PANW,2014,598200000.0,-453000000.0
PANW,2015,928100000.0,-296300000.0
PANW,2016,1378500000.0,-418600000.0
PANW,2017,3516700000.0,-203000000.0
PANW,2018,4546700000.0,-122200000.0
PANW,2019,2899600000.0,-81900000.0
PANW,2020,3408400000.0,-267000000.0
PANW,2021,4256100000.0,-498900000.0
PANW,2022,5501500000.0,-267000000.0
PANW,2023,6892700000.0,439700000.0
ADP,2014,10226400000.0,1515900000.0
ADP,2015,10938500000.0,1452500000.0
ADP,2016,11667800000.0,1492500000.0
ADP,2017,24744000000.0,1787800000.0
ADP,2018,26548400000.0,1884900000.0
ADP,2019,28220400000.0,2292800000.0
ADP,2020,29179600000.0,2466500000.0
ADP,2021,30010800000.0,2598500000.0
ADP,2022,32996600000.0,2948900000.0
ADP,2023,36024400000.0,3412000000.0
FI,2014,5066000000.0,754000000.0
FI,2015,5254000000.0,712000000.0
FI,2016,5505000000.0,930000000.0
FI,2017,11392000000.0,2492000000.0
FI,2018,11646000000.0,2374000000.0
FI,2019,10187000000.0,1807000000.0
FI,2020,29704000000.0,1933000000.0
FI,2021,32452000000.0,2737000000.0
FI,2022,17737000000.0,5112000000.0
FI,2023,19093000000.0,6197000000.0
BMY,2014,27539000000.0,4033000000.0
BMY,2015,30712000000.0,3196000000.0
BMY,2016,19427000000.0,8964000000.0
BMY,2017,20776000000.0,1982000000.0
BMY,2018,22561000000.0,9867000000.0
BMY,2019,26145000000.0,6899000000.0
BMY,2020,42518000000.0,-18010000000.0
BMY,2021,46385000000.0,14008000000.0
BMY,2022,46159000000.0,12672000000.0
BMY,2023,45006000000.0,16065000000.0
LMT,2014,79892000000.0,3614000000.0
LMT,2015,81072000000.0,3605000000.0
LMT,2016,47290000000.0,5173000000.0
LMT,2017,99920000000.0,1963000000.0
LMT,2018,107524000000.0,5046000000.0
LMT,2019,119624000000.0,6230000000.0
LMT,2020,65398000000.0,6833000000.0
LMT,2021,67044000000.0,6315000000.0
LMT,2022,65984000000.0,5732000000.0
LMT,2023,67571000000.0,6920000000.0
GILD,2014,49364000000.0,24160000000.0
GILD,2015,64790000000.0,36214000000.0
GILD,2016,60780000000.0,26989000000.0
GILD,2017,52214000000.0,9272000000.0
GILD,2018,44254000000.0,10915000000.0
GILD,2019,44898000000.0,10750000000.0
GILD,2020,49378000000.0,212000000.0
GILD,2021,27305000000.0,12426000000.0
GILD,2022,27281000000.0,9158000000.0
GILD,2023,27116000000.0,11278000000.0
NKE,2014,30601000000.0,3273000000.0
NKE,2015,32376000000.0,3760000000.0
NKE,2016,34350000000.0,4240000000.0
NKE,2017,36397000000.0,1933000000.0
NKE,2018,39117000000.0,4029000000.0
NKE,2019,37403000000.0,2539000000.0
NKE,2020,44538000000.0,5727000000.0
NKE,2021,46710000000.0,6046000000.0
NKE,2022,51217000000.0,5070000000.0
NKE,2023,51362000000.0,5700000000.0
CB,2014,19171000000.0,2853000000.0
CB,2015,18987000000.0,2834000000.0
CB,2016,31469000000.0,4135000000.0
CB,2017,32243000000.0,3861000000.0
CB,2018,32717000000.0,3962000000.0
CB,2019,34186000000.0,4454000000.0
CB,2020,35994000000.0,3533000000.0
CB,2021,40869000000.0,17050000000.0
CB,2022,43097000000.0,10492000000.0
CB,2023,49735000000.0,18043000000.0
UPS,2014,58232000000.0,3032000000.0
UPS,2015,58363000000.0,4844000000.0
UPS,2016,122516000000.0,3422000000.0
UPS,2017,132457000000.0,4905000000.0
UPS,2018,71861000000.0,4791000000.0
UPS,2019,74094000000.0,4440000000.0
UPS,2020,84628000000.0,1343000000.0
UPS,2021,97287000000.0,12890000000.0
UPS,2022,100338000000.0,11548000000.0
UPS,2023,90958000000.0,6708000000.0
ADI,2014,2864773000.0,629320000.0
ADI,2015,3435092000.0,696878000.0
ADI,2016,3421409000.0,861664000.0
ADI,2017,10353857000.0,805379000.0
ADI,2018,12425631000.0,1506980000.0
ADI,2019,5991065000.0,1363011000.0
ADI,2020,5603056000.0,1220761000.0
ADI,2021,7318286000.0,1390422000.0
ADI,2022,12013953000.0,2748561000.0
ADI,2023,12305539000.0,3314579000.0
MMC,2014,12951000000.0,2962000000.0
MMC,2015,12893000000.0,3235000000.0
MMC,2016,13211000000.0,3563000000.0
MMC,2017,14024000000.0,3004000000.0
MMC,2018,14950000000.0,3320000000.0
MMC,2019,16652000000.0,3515000000.0
MMC,2020,17224000000.0,4062000000.0
MMC,2021,19820000000.0,6317000000.0
MMC,2022,41440000000.0,6137000000.0
MMC,2023,45472000000.0,7558000000.0
VRTX,2014,580415000.0,-1481300000.0
VRTX,2015,1032336000.0,-1144515000.0
VRTX,2016,3404354000.0,-196083000.0
VRTX,2017,4977304000.0,355119000.0
VRTX,2018,3047597000.0,4183999000.0
VRTX,2019,4162800000.0,2353610000.0
VRTX,2020,6205700000.0,5423347000.0
VRTX,2021,7574400000.0,2342100000.0
VRTX,2022,8930700000.0,3322000000.0
VRTX,2023,9869200000.0,3619600000.0
MU,2014,16358000000.0,6124000000.0
MU,2015,16192000000.0,5798000000.0
