ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BMY,0.5002,0.4042,0.5064,0.4826,0.5003,0.5089,0.4461,0.4746,0.423,0.4129
KKR,0.4263,0.5062,0.5096,0.7359,0.8614,0.5268,0.4955,0.4203,0.7231,0.4375
TJX,0.5428,0.5476,0.5126,0.5699,0.5604,0.6706,0.5799,0.572,0.5557,0.5509
NOW,0.5723,0.744,0.5967,0.4944,0.5543,0.5469,0.5263,0.5604,0.4718,0.534
UNH,0.4327,0.4599,0.6028,0.5751,0.4258,0.5561,0.618,0.573,0.5387,0.4572
FI,0.5801,0.5654,0.565,0.5598,0.5519,0.571,0.5768,0.4087,0.5459,0.5179
V,0.5477,0.5408,0.4086,0.5652,0.5383,0.4545,0.4077,0.4057,0.484,0.4566
SBUX,0.5745,0.6355,0.6099,0.6191,0.6885,0.4726,0.4608,0.5719,0.4717,0.2924
PGR,0.6217,0.5764,0.5685,0.4683,0.4912,0.5015,0.5304,0.5137,0.608,0.6333
AMD,0.644,0.581,0.6202,0.6534,0.6147,0.644,0.5546,0.5201,0.5873,0.5363
ISRG,0.6343,0.7715,0.6268,0.6053,0.5898,0.5865,0.645,0.5791,0.6153,0.6328
C,0.6279,0.6216,0.3711,0.4719,0.538,0.48,0.3328,0.2298,0.5537,0.2653
GOOGL,0.5263,0.5341,0.4688,0.4975,0.5517,0.4841,0.5343,0.5884,0.5726,0.492
HD,0.5051,0.5401,0.5564,0.5594,0.4831,0.5057,0.4796,0.5243,0.5967,0.5218
VRTX,0.4623,0.6296,0.529,0.4997,0.2286,0.5249,0.3785,0.495,0.5155,0.5634
SCHW,0.572,0.62,0.6193,0.4861,0.5925,0.5186,0.4709,0.5955,0.5156,0.5015
BX,0.3728,0.4834,0.4766,0.3379,0.4136,0.4875,0.4324,0.5041,0.392,0.4819
UNP,0.3741,0.4122,0.3596,0.3652,0.4141,0.4144,0.4343,0.5261,0.3997,0.5
NEE,0.4865,0.4504,0.5986,0.595,0.6094,0.5526,0.5407,0.4876,0.601,0.5818
GILD,0.3382,0.5454,0.3867,0.4165,0.3773,0.3697,0.3546,0.4238,0.3263,0.5843
GE,0.8694,0.7526,0.6892,0.8222,0.5865,0.7714,0.3059,0.5343,0.6076,0.3515
ANET,0.3891,0.5762,0.5239,0.4587,0.4722,0.4349,0.4832,0.504,0.4438,0.446
JNJ,,0.4762,0.5622,0.592,0.589,0.5837,0.5703,0.5935,0.5852,0.5643
